Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
LR (Kaggle),0.868,0.8794,0.868,0.8708,0.9485
RF (Kaggle),0.97,0.9704,0.97,0.9701,0.9964
XGBoost (Kaggle),0.996,0.996,0.996,0.996,0.9998
RF Tuned (Kaggle),0.978,0.978,0.978,0.978,0.998
LR (TF-IDF),0.9381,0.9384,0.9381,0.9382,0.9837
RF (TF-IDF),0.9045,0.9092,0.9045,0.905,0.9737
NB (TF-IDF),0.8754,0.8862,0.8754,0.8762,0.9623
SBERT + RBF SVM,0.9467,0.9469,0.9467,0.9468,0.987
SBERT + SVM Tuned,0.9494,0.9494,0.9494,0.9494,0.9883
SBERT + Linear SVM,0.926,0.9263,0.926,0.9261,N/A
