Word,Coefficient,Direction
migraine,7.6573,High Risk
pain,6.6045,High Risk
diabetes,6.221,High Risk
quit,5.2837,High Risk
insulin,5.1628,High Risk
smoking,5.0557,High Risk
sober,4.9241,High Risk
metformin,4.5978,High Risk
diagnosed,4.4763,High Risk
quitting,4.3961,High Risk
diabetic,4.1575,High Risk
spike,4.0813,High Risk
anxiety,3.8533,High Risk
smoke,3.8258,High Risk
cgm,3.7845,High Risk
health anxiety,3.6902,High Risk
weed,3.4396,High Risk
drinking,3.2842,High Risk
glucose,3.2212,High Risk
pump,3.1283,High Risk
sleep,-8.73,Low Risk
keto,-7.8902,Low Risk
insomnia,-5.4102,Low Risk
calorie,-5.1167,Low Risk
weight,-4.862,Low Risk
cpap,-4.7307,Low Risk
fast,-3.6694,Low Risk
lb,-3.5342,Low Risk
apnea,-3.5034,Low Risk
protein,-3.1817,Low Risk
recipe,-3.1764,Low Risk
asleep,-3.1635,Low Risk
thread,-3.1097,Low Risk
training,-3.047,Low Risk
food,-3.0032,Low Risk
fat,-2.9629,Low Risk
pound,-2.9083,Low Risk
sleeping,-2.8941,Low Risk
fasting,-2.7795,Low Risk
running,-2.7141,Low Risk
